table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale,datetime_precision
_timescaledb_catalog,chunk,1,id,integer,int4,NO,nextval('_timescaledb_catalog.chunk_id_seq'::regclass),,,,
_timescaledb_catalog,chunk,2,hypertable_id,integer,int4,NO,,,,,
_timescaledb_catalog,chunk,3,schema_name,name,name,NO,,,,,
_timescaledb_catalog,chunk,4,table_name,name,name,NO,,,,,
_timescaledb_catalog,chunk,5,compressed_chunk_id,integer,int4,YES,,,,,
_timescaledb_catalog,chunk,6,dropped,boolean,bool,NO,false,,,,
_timescaledb_catalog,chunk,7,status,integer,int4,NO,0,,,,
_timescaledb_catalog,chunk,8,osm_chunk,boolean,bool,NO,false,,,,
_timescaledb_catalog,chunk,9,creation_time,timestamp with time zone,timestamptz,NO,,,,,
_timescaledb_catalog,chunk_constraint,1,chunk_id,integer,int4,NO,,,,,
_timescaledb_catalog,chunk_constraint,2,dimension_slice_id,integer,int4,YES,,,,,
_timescaledb_catalog,chunk_constraint,3,constraint_name,name,name,NO,,,,,
_timescaledb_catalog,chunk_constraint,4,hypertable_constraint_name,name,name,YES,,,,,
_timescaledb_catalog,chunk_copy_operation,1,operation_id,name,name,NO,,,,,
_timescaledb_catalog,chunk_copy_operation,2,backend_pid,integer,int4,NO,,,,,
_timescaledb_catalog,chunk_copy_operation,3,completed_stage,name,name,NO,,,,,
_timescaledb_catalog,chunk_copy_operation,4,time_start,timestamp with time zone,timestamptz,NO,now(),,,,
_timescaledb_catalog,chunk_copy_operation,5,chunk_id,integer,int4,NO,,,,,
_timescaledb_catalog,chunk_copy_operation,6,compress_chunk_name,name,name,NO,,,,,
_timescaledb_catalog,chunk_copy_operation,7,source_node_name,name,name,NO,,,,,
_timescaledb_catalog,chunk_copy_operation,8,dest_node_name,name,name,NO,,,,,
_timescaledb_catalog,chunk_copy_operation,9,delete_on_source_node,boolean,bool,NO,,,,,
_timescaledb_catalog,chunk_data_node,1,chunk_id,integer,int4,NO,,,,,
_timescaledb_catalog,chunk_data_node,2,node_chunk_id,integer,int4,NO,,,,,
_timescaledb_catalog,chunk_data_node,3,node_name,name,name,NO,,,,,
_timescaledb_catalog,chunk_index,1,chunk_id,integer,int4,NO,,,,,
_timescaledb_catalog,chunk_index,2,index_name,name,name,NO,,,,,
_timescaledb_catalog,chunk_index,3,hypertable_id,integer,int4,NO,,,,,
_timescaledb_catalog,chunk_index,4,hypertable_index_name,name,name,NO,,,,,
_timescaledb_catalog,compression_algorithm,1,id,smallint,int2,NO,,,,,
_timescaledb_catalog,compression_algorithm,2,version,smallint,int2,NO,,,,,
_timescaledb_catalog,compression_algorithm,3,name,name,name,NO,,,,,
_timescaledb_catalog,compression_algorithm,4,description,text,text,YES,,,,,
_timescaledb_catalog,compression_chunk_size,1,chunk_id,integer,int4,NO,,,,,
_timescaledb_catalog,compression_chunk_size,2,compressed_chunk_id,integer,int4,NO,,,,,
_timescaledb_catalog,compression_chunk_size,3,uncompressed_heap_size,bigint,int8,NO,,,,,
_timescaledb_catalog,compression_chunk_size,4,uncompressed_toast_size,bigint,int8,NO,,,,,
_timescaledb_catalog,compression_chunk_size,5,uncompressed_index_size,bigint,int8,NO,,,,,
_timescaledb_catalog,compression_chunk_size,6,compressed_heap_size,bigint,int8,NO,,,,,
_timescaledb_catalog,compression_chunk_size,7,compressed_toast_size,bigint,int8,NO,,,,,
_timescaledb_catalog,compression_chunk_size,8,compressed_index_size,bigint,int8,NO,,,,,
_timescaledb_catalog,compression_chunk_size,9,numrows_pre_compression,bigint,int8,YES,,,,,
_timescaledb_catalog,compression_chunk_size,10,numrows_post_compression,bigint,int8,YES,,,,,
_timescaledb_catalog,compression_chunk_size,11,numrows_frozen_immediately,bigint,int8,YES,,,,,
_timescaledb_catalog,continuous_agg,1,mat_hypertable_id,integer,int4,NO,,,,,
_timescaledb_catalog,continuous_agg,2,raw_hypertable_id,integer,int4,NO,,,,,
_timescaledb_catalog,continuous_agg,3,parent_mat_hypertable_id,integer,int4,YES,,,,,
_timescaledb_catalog,continuous_agg,4,user_view_schema,name,name,NO,,,,,
_timescaledb_catalog,continuous_agg,5,user_view_name,name,name,NO,,,,,
_timescaledb_catalog,continuous_agg,6,partial_view_schema,name,name,NO,,,,,
_timescaledb_catalog,continuous_agg,7,partial_view_name,name,name,NO,,,,,
_timescaledb_catalog,continuous_agg,8,bucket_width,bigint,int8,NO,,,,,
_timescaledb_catalog,continuous_agg,9,direct_view_schema,name,name,NO,,,,,
